Mean	Min	Max	Segment	Timing
0.0636123264335132	0.0345765500610719	0.107179126446389	chr_1_tetrasomic_I	Post-CNV
0.00498966527130832	0.000159538953167946	0.026379473117458	chr_1_tetrasomic_III	Pre-CNV
0.0749975499662563	0.0441344573535705	0.119165026857244	chr_2_tetrasomic_I	Post-CNV
0.00990249977289624	0.0014823141888863	0.0330600205180544	chr_2_tetrasomic_III	Pre-CNV
0.0747206293073874	0.0230559096609207	0.179284399980676	chr_3_trisomic_I	Post-CNV
0.0190537604733838	0.000796901943874111	0.094431165113195	chr_3_trisomic_II	Pre-CNV
0.0871396045191023	0.0442841648662391	0.153996401923421	chr_3_tetrasomic_I	Post-CNV
0.0113281485874833	0.000809209212510469	0.0485557325638	chr_3_tetrasomic_II	Pre-CNV
0.0590511330041576	0.0294781128357147	0.105658788549268	chr_4_tetrasomic_I	Post-CNV
0	0	0.0198050854663479	chr_4_tetrasomic_III	Pre-CNV
0.0785430231504932	0.0130571746002084	0.25153818302512	chr_5_tetrasomic_I	Post-CNV
0	0	0.11589429774554	chr_5_tetrasomic_II	Pre-CNV
0.0498848458219047	0.0120426947910398	0.135563976963019	chr_7_tetrasomic_I	Post-CNV
0	0	0.0527574438818713	chr_7_tetrasomic_III	Pre-CNV
0.0995815944164145	0.0544421843190058	0.167080994539277	chr_8_trisomic_I	Post-CNV
0	0	0.0262388926893299	chr_8_trisomic_II	Pre-CNV
0.0884106993390591	0.0446698177098408	0.15687563842106	chr_10_trisomic_I	Post-CNV
0.00132616049008589	1.87840085251977e-12	0.0314964182770236	chr_10_trisomic_II	Pre-CNV
0.0540484588908117	0.0217302836705558	0.111360482340356	chr_11_tetrasomic_I	Post-CNV
0	0	0.0284869973582596	chr_11_tetrasomic_III	Pre-CNV
0.072903042031374	0.0341743234441839	0.136132525335849	chr_12_tetrasomic_I	Post-CNV
0.0109354563047061	0.000705096349110749	0.0482860910749769	chr_12_tetrasomic_II	Pre-CNV
0.116069038792826	0.014056499073651	0.419281276585553	chr_13_trisomic_I	Post-CNV
0	0	0.214082346230805	chr_13_trisomic_II	Pre-CNV
0.094644357690518	0.0392859935832402	0.191179176485346	chr_13_tetrasomic_I	Post-CNV
0.0214289111752116	0.00192607775959999	0.0855990705435242	chr_13_tetrasomic_III	Pre-CNV
0.04048190820149	0.00977273272067255	0.110011134251839	chr_14_tetrasomic_I	Post-CNV
0	0	0.0426665369793723	chr_14_tetrasomic_III	Pre-CNV
0.0446235634280446	0.00247523150242748	0.205469817007947	chr_16_trisomic_I	Post-CNV
0	0	0.123458209724298	chr_16_trisomic_II	Pre-CNV
0.0476906062382174	0.011512983669969	0.129601046949437	chr_18_tetrasomic_I	Post-CNV
0.00906121518526131	4.56150963201821e-05	0.0678262821831447	chr_18_tetrasomic_II	Pre-CNV
0.0965182899360398	0.0313392260217329	0.225241491740412	chr_19_tetrasomic_I	Post-CNV
0.0125473776916852	5.64145955436692e-05	0.0955626185344297	chr_19_tetrasomic_II	Pre-CNV
0.0340922071129538	0.00412872444439998	0.123152774147224	chr_20_tetrasomic_I	Post-CNV
0.00886397384936798	1.12413524005116e-05	0.0803118702400043	chr_20_tetrasomic_II	Pre-CNV
0.0408123743935409	0.00226382805467008	0.187921144213922	chr_21_trisomic_I	Post-CNV
0	0	0.112913947030454	chr_21_trisomic_II	Pre-CNV
0.145815314813369	0.0473458358140675	0.340284303098674	chr_22_tetrasomic_I	Post-CNV
0	0	0.107579023782038	chr_22_tetrasomic_II	Pre-CNV
