Mean	Min	Max	Segment	Timing
0.013624726138463	0.00280974608131804	0.0398172315187871	chr_1_disomic_I	Post-CNV
0.0128194407536918	0.00264367687514031	0.0374638458963332	chr_2_disomic_I	Post-CNV
0.0359694467297889	0.0144615831228472	0.0741108075891133	chr_3_disomic_I	Post-CNV
0.0375457487573551	0.0150953382920497	0.0773585922199103	chr_4_disomic_I	Post-CNV
0.022776477683778	0.00620582359018059	0.0583168289779414	chr_5_disomic_I	Post-CNV
0.0119783455947472	0.001450633222327	0.0432699028490528	chr_6_disomic_I	Post-CNV
0.0196150082561858	0.00404508626615641	0.0573233778824104	chr_7_disomic_I	Post-CNV
0	0	0.0261419103540289	chr_8_disomic_I	Post-CNV
0.085726902264959	0.0314602622444642	0.186591375526705	chr_9_monosomic_I	Post-CNV
0.0259275799134683	0.000656429489746521	0.144459229267916	chr_9_disomic_I	Post-CNV
0.00778965713473587	0.000197217043600696	0.0434011916924311	chr_10_disomic_I	Post-CNV
0.0232687558912127	0.0047985768681187	0.0680011789638124	chr_11_disomic_I	Post-CNV
0.0153280448768367	0.00185629734555406	0.0553701683960007	chr_12_disomic_I	Post-CNV
0.0209095779311783	0.00253224689268476	0.0755325849083486	chr_13_disomic_I	Post-CNV
0	0	0.0424448998423416	chr_14_disomic_I	Post-CNV
0.0132490464330056	0.000335436813565777	0.0738189619946982	chr_15_disomic_I	Post-CNV
0.0267565698114961	0.00324034473517685	0.0966539299738555	chr_16_disomic_I	Post-CNV
0.0130005991196098	0.00032914667219101	0.0724347021630202	chr_17_disomic_I	Post-CNV
0.0136110343675623	0.000344601554585514	0.0758358296778709	chr_18_disomic_I	Post-CNV
0.0181620644600727	0.000459823660598416	0.10119254641477	chr_19_disomic_I	Post-CNV
0	0	0.143708061620086	chr_20_monosomic_I	Post-CNV
0.0302485206356013	0.000765826237260983	0.168533970085027	chr_20_disomic_I	Post-CNV
0.0304508674188417	0.000770949214265302	0.169661374202546	chr_21_disomic_I	Post-CNV
0.0293169596940764	0.000742241156217791	0.163343644721923	chr_22_disomic_I	Post-CNV
