Mean	Min	Max	Segment	Timing
0	0	0.0167467547896804	chr_1_disomic_I	Post-CNV
0.00427688101728558	0.000108281252367291	0.0238292558537912	chr_2_disomic_I	Post-CNV
0	0	0.0189786882437031	chr_3_disomic_I	Post-CNV
0.0160918895814445	0.00331853449625129	0.0470273300562218	chr_4_disomic_I	Post-CNV
0.0171419309888143	0.00353507827845988	0.0500959966405376	chr_5_disomic_I	Post-CNV
0.00599060927665376	0.000151669095375226	0.0333775385839652	chr_6_disomic_I	Post-CNV
0.0131273376629612	0.00158978149227443	0.0474204572618221	chr_7_disomic_I	Post-CNV
0.0212646961112251	0.00438529156195382	0.0621444658507327	chr_8_disomic_I	Post-CNV
0.00921540553350452	0.00023331386779463	0.0513449533355722	chr_9_disomic_I	Post-CNV
0	0	0.028783410810606	chr_10_disomic_I	Post-CNV
0	0	0.0428791633028238	chr_10_disomic_II	Pre-CNV
0	0	0.0285501835453216	chr_11_disomic_I	Post-CNV
0	0	0.028305268989786	chr_12_disomic_I	Post-CNV
0.0104547889655892	0.000264692339547059	0.0582503558437858	chr_13_disomic_I	Post-CNV
0.0115035289490792	0.000291244137074508	0.0640935610416116	chr_14_disomic_I	Post-CNV
0.0130450357814243	0.000330271711062292	0.0726822873961343	chr_15_disomic_I	Post-CNV
0	0	0.0494800999881297	chr_16_disomic_I	Post-CNV
0	0	0.0479327211818672	chr_17_disomic_I	Post-CNV
0	0	0.0675994211092996	chr_19_disomic_I	Post-CNV
0	0	0.062915228350326	chr_20_disomic_I	Post-CNV
0.0304369047226267	0.000770595709403588	0.16958357903846	chr_21_disomic_I	Post-CNV
0	0	0.107453595267889	chr_22_disomic_I	Post-CNV
