Mean	Min	Max	Segment	Timing
0.138751490586667	0.0949059168473875	0.195875705076736	chr_2_tetrasomic_I	Post-CNV
0.134588945869067	0.0914716653645519	0.190995650874081	chr_2_tetrasomic_II	Pre-CNV
0.212223213582221	0.151266535602552	0.289546095823118	chr_4_tetrasomic_I	Post-CNV
0.195245356495644	0.136996486233003	0.269894038678468	chr_4_tetrasomic_II	Pre-CNV
0.179334423345038	0.122261313925532	0.253849712278573	chr_5_tetrasomic_I	Post-CNV
0.168574357944336	0.113413663006553	0.241206412758319	chr_5_tetrasomic_II	Pre-CNV
0.163452207957752	0.105767429123033	0.241306229470403	chr_7_tetrasomic_I	Post-CNV
0.105156781292011	0.0600821901286958	0.170818662970031	chr_7_tetrasomic_IV	Pre-CNV
0.206522207546746	0.13777835944011	0.297527507943689	chr_8_tetrasomic_I	Post-CNV
0.190000430943006	0.124360822468752	0.277954132393448	chr_8_tetrasomic_II	Pre-CNV
0.156588878193869	0.0912187920286947	0.250713962991643	chr_9_tetrasomic_I	Post-CNV
0.125271102555095	0.0677932535400502	0.21173594632553	chr_9_tetrasomic_II	Pre-CNV
0.178274649723837	0.113010835347531	0.267499506623613	chr_10_tetrasomic_I	Post-CNV
0.147967959270784	0.0892067625004389	0.23083197394636	chr_10_tetrasomic_II	Pre-CNV
0.155271130760845	0.0948436404993841	0.239803668215829	chr_11_tetrasomic_I	Post-CNV
0.155271130760845	0.0948436404993841	0.239803668215829	chr_11_tetrasomic_II	Pre-CNV
0.265036786714713	0.184129864993944	0.369392547850558	chr_12_tetrasomic_I	Post-CNV
0.169798883407462	0.106525458519587	0.256863795369891	chr_12_tetrasomic_IV	Pre-CNV
0.298008048329502	0.198811839591121	0.4293271557567	chr_13_tetrasomic_I	Post-CNV
0.277147484946437	0.181860299567489	0.40462351746846	chr_13_tetrasomic_II	Pre-CNV
0.16297802841046	0.0855290441184638	0.281590249416725	chr_15_tetrasomic_I	Post-CNV
0.158088687558146	0.0820121566440399	0.275377426832781	chr_15_tetrasomic_II	Pre-CNV
0.192131372277126	0.106315376064134	0.319546866734513	chr_16_tetrasomic_I	Post-CNV
0.176760862494956	0.0950016253916945	0.300249081168165	chr_16_tetrasomic_II	Pre-CNV
0.182058567695052	0.0995331130957913	0.305463341224344	chr_17_tetrasomic_I	Post-CNV
0.167493882279448	0.088881033448839	0.287115014704314	chr_17_tetrasomic_II	Pre-CNV
0.142916123466301	0.0699805661465899	0.2591248116747	chr_18_tetrasomic_I	Post-CNV
0.124337027415682	0.0572503498256435	0.234953246663724	chr_18_tetrasomic_II	Pre-CNV
0.127617889577855	0.0532773873099429	0.25686085788863	chr_20_tetrasomic_I	Post-CNV
0.0906087016002773	0.0307503793051576	0.206297271686194	chr_20_tetrasomic_II	Pre-CNV
0.131157918943532	0.0393530519060431	0.319443116023916	chr_22_tetrasomic_I	Post-CNV
0.106237914344261	0.0266456544178202	0.283431356754792	chr_22_tetrasomic_II	Pre-CNV
