Mean	Min	Max	Segment	Timing
0.353380323737681	0.278882225242537	0.441664772411015	chr_1_disomic_I	Post-CNV
0.396936752788135	0.319987045909801	0.48680769053601	chr_2_disomic_I	Post-CNV
0.516895533963031	0.378432495740886	0.689466206258668	chr_3_disomic_I	Post-CNV
0.464778148463096	0.342690716542403	0.616228395062542	chr_3_trisomic_I	Post-CNV
0.0976034111772502	0.0469668185364856	0.179076847469975	chr_3_trisomic_II	Pre-CNV
0.374511813673925	0.291392545359961	0.473968669476305	chr_4_disomic_I	Post-CNV
0.32953250351075	0.249584700088709	0.426947580616949	chr_5_disomic_I	Post-CNV
0.36309402219854	0.27707899059019	0.467373980317117	chr_6_disomic_I	Post-CNV
0.145335085299342	0.0176007530787396	0.525000299224881	chr_7_monosomic_I	Post-CNV
0.446544985549438	0.34157153119194	0.573605715000116	chr_7_disomic_I	Post-CNV
0.351849405926692	0.260300127463042	0.46516357409171	chr_8_disomic_I	Post-CNV
0.428626614913668	0.313808553111523	0.571727837964175	chr_9_disomic_I	Post-CNV
0.436054650680919	0.305407316496971	0.603683439503591	chr_10_monosomic_I	Post-CNV
0.301930862965206	0.0822659981937231	0.773062926724829	chr_10_disomic_I	Post-CNV
0.403101954402698	0.212591319355883	0.694032613445048	chr_10_trisomic_I	Post-CNV
0.145116703584971	0.0439915752568602	0.351511101591682	chr_10_trisomic_II	Pre-CNV
0.362117109176923	0.26511523581107	0.483013477735765	chr_11_disomic_I	Post-CNV
0.427498952510976	0.322050715984095	0.556448648180374	chr_12_disomic_I	Post-CNV
0.339326651433091	0.232099178386094	0.479027986076075	chr_13_disomic_I	Post-CNV
0.326135925020605	0.216714953682264	0.471357216553674	chr_14_disomic_I	Post-CNV
0.388124825762066	0.259933287198424	0.557411992208415	chr_15_disomic_I	Post-CNV
0.116452340016611	0.0141029186300899	0.420665892397803	chr_16_monosomic_I	Post-CNV
0.368932114224685	0.228374793498176	0.563951926580953	chr_16_disomic_I	Post-CNV
0.339184204327278	0.221566383385625	0.496983446794907	chr_17_disomic_I	Post-CNV
0.0533382989959265	0.0107578851137839	0.157419075922664	chr_17_disomic_II	Pre-CNV
0.330465930938431	0.211735757495817	0.491707110217578	chr_18_disomic_I	Post-CNV
0.369447504188149	0.225668133534657	0.570581706228176	chr_19_disomic_I	Post-CNV
0.464283655715855	0.305965854649996	0.675508343231668	chr_20_disomic_I	Post-CNV
0.343233744270454	0.17134104847602	0.614139979435991	chr_21_disomic_I	Post-CNV
0.304592511873321	0.146063948836391	0.560156474108289	chr_22_disomic_I	Post-CNV
