Segment	Lachesis_min	Lachesis_max	Lachesis_mean	MutationTimer_min	MutationTimer_max	MutationTimer_mean	Cor_coeff
chr_1_trisomic_II	0.452257331863843	1.08818266505256	0.726507390440379	0.533019311532842	0.855276714385584	0.763811737938853	0.760846630769422
chr_2_tetrasomic_II	0.666789335380533	1.20174351962562	0.915789669009324	0.711767878181658	0.847232957882954	0.786152260641023	0.760846630769422
chr_3_tetrasomic_IV	0.160736286122922	0.469634700725463	0.287874647865549	0.193485491521319	0.34899306717113	0.258454404277037	0.760846630769422
chr_4_trisomic_II	0.564005102988875	1.11615170619078	0.814377814951126	0.674956374358472	0.936656366961095	0.768843381755745	0.760846630769422
chr_6_tetrasomic_II	0.71600740870835	1.37249133790884	1.01629348634472	0.768064158388847	0.851226356676492	0.822925102849199	0.760846630769422
chr_7_trisomic_II	0.479826896931242	1.04847283147912	0.731063958088018	0.573113027045262	0.913192139871554	0.71745903663349	0.760846630769422
chr_8_tetrasomic_II	0.616067468110485	1.65662743902765	1.05287015739176	0.652057261527226	0.910690319106995	0.799823683071538	0.760846630769422
chr_9_disomic_II	0.222822033033066	1.21043460226122	0.575796113147057	0.515711827201423	0.994155110631841	0.878073131122353	0.760846630769422
chr_9_tetrasomic_II	0.392130428022907	1.20727127948983	0.723539282821183	0.55085421254625	0.833160152151793	0.761662007098587	0.760846630769422
chr_10_disomic_II	0.804213231838006	1.59789346502397	1.16372248029596	0.772455562841826	0.92788158458428	0.856934468808701	0.760846630769422
chr_11_trisomic_III	0.153018995141256	0.544665387258669	0.306994832311026	0.0531104475871198	0.295757342762549	0.106699037079426	0.760846630769422
chr_12_trisomic_II	0.371684562843662	0.934070358127963	0.611648877831311	0.514026824552381	0.842096616758122	0.679564660611149	0.760846630769422
chr_14_disomic_II	0.764593701998144	1.71892765031122	1.183195238453	0.629271307734466	0.835062796251596	0.790863549772062	0.760846630769422
chr_15_trisomic_II	0.316033674227709	1.03729768419162	0.604944849014947	0.241228471166189	0.961199846927441	0.767275371681355	0.760846630769422
chr_16_disomic_II	0.380649187002354	1.16259404773053	0.699155942670422	0.534540605715958	0.848137458543922	0.721352863962101	0.760846630769422
chr_17_tetrasomic_II	0.493819537626849	1.33899461457044	0.847898762313939	0.728129020036684	0.881268674036274	0.823327682151581	0.760846630769422
chr_18_tetrasomic_II	0.574432424065174	1.49916560644863	0.965412230487169	0.722518914062347	0.877409838626111	0.841590371728853	0.760846630769422
chr_19_trisomic_II	0.410800537751831	1.38155557489442	0.797467896810006	0.509388143751851	0.95745009946632	0.760971060326975	0.760846630769422
chr_20_trisomic_II	0.469786508027632	1.44384081243023	0.865965167625415	0.57432161522704	0.923830123552122	0.785420569999162	0.760846630769422
chr_21_tetrasomic_II	0.462629588911982	1.86478726138008	0.99847859375287	0.539998730748398	0.944094831409557	0.839474458994218	0.760846630769422
chr_22_trisomic_II	0.185696542883418	1.23234389750098	0.543548887849699	0.205751669070531	0.853941212849255	0.580536222533481	0.760846630769422
