Segment	Lachesis_min	Lachesis_max	Lachesis_mean	MutationTimer_min	MutationTimer_max	MutationTimer_mean	Cor_coeff
chr_1_tetrasomic_II	0.737455240183006	1.25578895512046	0.958147529229348	0.88311253968748	0.961300583311678	0.939985866138784	0.576921983929339
chr_2_tetrasomic_II	0.695270178597484	1.18341438534401	0.903120333199556	0.917965402247551	0.983832940448041	0.954587699788624	0.576921983929339
chr_4_tetrasomic_II	0.633144151904669	1.15669859801192	0.853971869438815	0.914643989954461	0.985780924239204	0.960657730232543	0.576921983929339
chr_5_tetrasomic_II	0.799600758426564	1.40614861678567	1.05678396381061	0.902791059251023	0.99845615940326	0.965661145941021	0.576921983929339
chr_6_tetrasomic_II	0.759427007471622	1.36495965955803	1.0154185455524	0.818859715383925	0.983154083101181	0.914537823453208	0.576921983929339
chr_7_tetrasomic_II	0.734798155770218	1.36359066677442	0.999415990530439	0.878822076139534	0.99999999903907	0.999653440653936	0.576921983929339
chr_8_tetrasomic_II	0.826247355760076	1.51603411449966	1.11700936214565	0.879557016736292	0.990012883290121	0.965492494593327	0.576921983929339
chr_9_tetrasomic_II	0.699674220802079	1.42827129203801	1.00181842439703	0.850924562625544	0.983369490773816	0.947451310606032	0.576921983929339
chr_10_tetrasomic_II	0.774215748879753	1.47052970889078	1.06624210830788	0.875311750530774	0.962954835126739	0.94055457705041	0.576921983929339
chr_11_tetrasomic_II	0.563288349790363	1.17309746114354	0.815349090006143	0.65313488865249	0.972887470477067	0.906263283701381	0.576921983929339
chr_12_tetrasomic_II	0.726969738710705	1.40078215512456	1.00894429443483	0.848429918283796	0.958476487001215	0.919823780104314	0.576921983929339
chr_13_tetrasomic_II	0.78284204651969	1.60421590673522	1.12324772019276	0.887908032643905	0.99987365261918	0.969208170826757	0.576921983929339
chr_14_tetrasomic_III	0.766185191075908	1.6547434368722	1.13124955041021	0.604897091881929	1	0.947113109138325	0.576921983929339
chr_15_tetrasomic_II	0.572055259965157	1.37836021579477	0.897086166859724	0.811514747619147	0.991400437476752	0.944689509991498	0.576921983929339
chr_16_tetrasomic_II	0.866546489821289	1.84315163783237	1.26881257849084	0.78925425685159	0.942240748158183	0.883282876075443	0.576921983929339
chr_17_tetrasomic_II	0.311680923695753	1.26098191651196	0.65822925188923	0.735976439325825	0.992678644885237	0.911548408251124	0.576921983929339
chr_17_tetrasomic_IV	0.232658837271012	1.16140103882192	0.557632077685659	0.437654882926913	0.897116042170057	0.683743473893771	0.576921983929339
chr_18_tetrasomic_II	0.712604833185431	1.62574618671691	1.08426327838514	0.845400795254407	0.97396011326331	0.943072915163681	0.576921983929339
chr_19_tetrasomic_II	0.556196461034873	1.53055596596379	0.939544178672053	0.570827475760809	0.956342643798233	0.845643679874703	0.576921983929339
chr_20_tetrasomic_II	0.563380744336208	1.49992066707254	0.934120069059757	0.805534922427891	0.997913033824451	0.92837644085638	0.576921983929339
chr_21_tetrasomic_II	0.570061104099195	1.91152511358168	1.0782714936061	0.808657789688868	1	0.999774103819331	0.576921983929339
chr_22_tetrasomic_II	0.318320763832446	1.38546012907723	0.702221097969571	0.700329670392027	0.987465950150379	0.886225394758418	0.576921983929339
